,car_name,car_price,car_date,car_odometer,car_transmission,car_bodytype,car_engine
1031,2012 Ferrari 458 Italia Auto,"$369,800*",,"39,980 km",Automatic,Coupe,8cyl 4.5L Petrol
1032,2013 Ferrari 458 Italia Auto,"$362,990*",,"11,600 km",Automatic,Coupe,8cyl 4.5L Petrol
1033,2012 Ferrari California Auto,"$219,900*",,"26,636 km",Automatic,Convertible,8cyl 4.3L Petrol
1034,2015 Ferrari 458 Speciale Auto,"$699,900*",,"2,559 km",Automatic,Coupe,8cyl 4.5L Petrol
1035,2016 Ferrari F12berlinetta Auto,"$569,900*",,"2,663 km",Automatic,Coupe,12cyl 6.3L Petrol
1036,1997 Ferrari F355 Berlinetta Manual,"$334,900 ",,"60,735 km",Manual,Coupe,8cyl 3.5L Petrol
1037,2016 Ferrari 488 GTB Auto,"$409,000*",,"2,900 km",Automatic,Coupe,8cyl 3.9L Turbo Petrol
1038,2007 Ferrari 599 Fiorano GTB Auto,"$269,000*",,"31,500 km",Automatic,Coupe,12cyl 6.0L Petrol
1039,1978 Ferrari 308 GTS Manual,"$105,000*",,"6,900 km",Manual,Coupe,8cyl 3.0L Petrol
1040,2013 Ferrari FF Auto 4RM,"$289,900*",,"12,898 km",Automatic,Hatch,12cyl 6.3L Petrol
1041,2008 Ferrari 599 Fiorano GTB Auto,"$339,000*",,"10,802 km",Automatic,Coupe,12cyl 6.0L Petrol
1042,2016 Ferrari California T Auto,"$299,900*",,"2,863 km",Automatic,Convertible,8cyl 3.9L Turbo Petrol
1043,2018 Ferrari 488 GTB Auto,"$535,000*",,160 km,Automatic,Coupe,8cyl 3.9L Turbo Petrol
1044,2017 Ferrari California T Auto,"$319,900*",,"8,703 km",Automatic,Convertible,8cyl 3.9L Turbo Petrol
1045,2018 Ferrari 812 Superfast Auto,"$699,900*",,"7,600 km",Automatic,Coupe,12cyl 6.5L Petrol
1046,2011 Ferrari California Auto,"$229,900 ",,"25,440 km",Automatic,Convertible,8cyl 4.3L Petrol
1047,2015 Ferrari 458 Speciale Auto,"$699,900*",,"7,086 km",Automatic,Coupe,8cyl 4.5L Petrol
1048,2012 Ferrari 458 Italia Auto,"$369,800*",,"39,980 km",Automatic,Coupe,8cyl 4.5L Petrol
1049,2013 Ferrari 458 Italia Auto,"$362,990*",,"11,600 km",Automatic,Coupe,8cyl 4.5L Petrol
1050,2012 Ferrari California Auto,"$219,900*",,"26,636 km",Automatic,Convertible,8cyl 4.3L Petrol
1051,2015 Ferrari 458 Speciale Auto,"$699,900*",,"2,559 km",Automatic,Coupe,8cyl 4.5L Petrol
1052,2016 Ferrari F12berlinetta Auto,"$569,900*",,"2,663 km",Automatic,Coupe,12cyl 6.3L Petrol
1053,1997 Ferrari F355 Berlinetta Manual,"$334,900 ",,"60,735 km",Manual,Coupe,8cyl 3.5L Petrol
1054,2016 Ferrari 488 GTB Auto,"$409,000*",,"2,900 km",Automatic,Coupe,8cyl 3.9L Turbo Petrol
1055,2007 Ferrari 599 Fiorano GTB Auto,"$269,000*",,"31,500 km",Automatic,Coupe,12cyl 6.0L Petrol
1056,1978 Ferrari 308 GTS Manual,"$105,000*",,"6,900 km",Manual,Coupe,8cyl 3.0L Petrol
1057,2013 Ferrari FF Auto 4RM,"$289,900*",,"12,898 km",Automatic,Hatch,12cyl 6.3L Petrol
1058,2008 Ferrari 599 Fiorano GTB Auto,"$339,000*",,"10,802 km",Automatic,Coupe,12cyl 6.0L Petrol
1059,2016 Ferrari California T Auto,"$299,900*",,"2,863 km",Automatic,Convertible,8cyl 3.9L Turbo Petrol
1060,2018 Ferrari 488 GTB Auto,"$535,000*",,160 km,Automatic,Coupe,8cyl 3.9L Turbo Petrol
1061,2017 Ferrari California T Auto,"$319,900*",,"8,703 km",Automatic,Convertible,8cyl 3.9L Turbo Petrol
1062,2018 Ferrari 812 Superfast Auto,"$699,900*",,"7,600 km",Automatic,Coupe,12cyl 6.5L Petrol
